Date;Stock;Open;High;Low;Close
2012-01-03;INTC;24.620001;24.889999;24.389999;24.540001
2012-01-04;INTC;;;;
2012-01-05;INTC;25.059999;25.450001;24.98;25.4
2012-01-06;INTC;25.209999;25.4;25.01;25.25
2012-01-09;INTC;25.4;25.559999;25.219999;25.469999
2012-01-10;INTC;25.709999;25.92;25.51;25.59
2012-01-11;INTC;25.43;25.889999;25.34;25.799999
2012-01-12;INTC;25.85;25.9;25.540001;25.75
2012-01-13;INTC;25.690001;25.719999;25.1;25.139999
2012-01-17;INTC;25.18;25.4;24.969999;25.040001
2012-01-18;INTC;;;;
2012-01-19;INTC;25.52;25.68;25.370001;25.629999
2012-01-20;INTC;25.870001;26.469999;25.5;26.379999
2012-01-23;INTC;26.35;26.889999;26.34;26.709999
2012-01-24;INTC;26.700001;26.98;26.610001;26.9
2012-01-25;INTC;26.84;26.950001;26.5;26.9
2012-01-26;INTC;26.950001;27.0;26.6;26.75
2012-01-27;INTC;26.66;26.84;26.59;26.73
2012-01-30;INTC;26.51;26.799999;26.27;26.74
2012-01-31;INTC;26.790001;26.799999;26.280001;26.42
2012-02-01;INTC;26.74;26.84;26.51;26.549999
2012-02-02;INTC;26.59;26.74;26.459999;26.49
2012-02-03;INTC;26.67;26.950001;26.58;26.74
2012-02-06;INTC;26.549999;26.73;26.360001;26.719999
2012-02-07;INTC;26.629999;26.74;26.43;26.639999
2012-02-08;INTC;26.66;26.99;26.610001;26.85
2012-02-09;INTC;26.91;27.0;26.790001;26.860001
2012-02-10;INTC;26.74;26.790001;26.450001;26.700001
2012-02-13;INTC;26.83;26.84;26.52;26.700001
2012-02-14;INTC;26.57;26.780001;26.5;26.780001
2012-02-15;INTC;26.879999;26.879999;26.5;26.58
2012-02-16;INTC;26.4;26.950001;26.35;26.83
2012-02-17;INTC;;;;
2012-02-21;INTC;27.34;27.370001;27.01;27.16
2012-02-22;INTC;27.059999;27.35;26.51;26.73
2012-02-23;INTC;26.559999;26.860001;26.35;26.66
2012-02-24;INTC;26.719999;26.799999;26.450001;26.700001
2012-02-27;INTC;26.52;27.200001;26.450001;26.889999
2012-02-28;INTC;26.93;27.299999;26.82;27.24
2012-02-29;INTC;27.25;27.299999;26.84;26.879999
2012-03-01;INTC;27.059999;27.139999;26.709999;26.860001
2012-03-02;INTC;26.9;27.030001;26.77;26.92
2012-03-05;INTC;26.91;26.91;26.360001;26.540001
2012-03-06;INTC;26.25;26.629999;26.200001;26.610001
2012-03-07;INTC;26.58;27.0;26.52;26.91
2012-03-08;INTC;27.0;27.040001;26.75;26.84
2012-03-09;INTC;26.940001;27.17;26.870001;27.07
2012-03-12;INTC;27.0;27.08;26.91;26.99
2012-03-13;INTC;27.120001;27.5;27.120001;27.49
2012-03-14;INTC;27.450001;27.9;27.34;27.459999
2012-03-15;INTC;27.5;27.85;27.43;27.75
2012-03-16;INTC;27.82;27.959999;27.700001;27.73
