Date;Stock;Open;High;Low;Close
2012-01-03;MSFT;26.549999;26.959999;26.389999;26.77
2012-01-04;MSFT;26.82;27.469999;26.780001;27.4
2012-01-05;MSFT;27.379999;27.73;27.290001;27.68
2012-01-06;MSFT;27.530001;28.190001;27.530001;28.110001
2012-01-09;MSFT;28.049999;28.1;27.719999;27.74
2012-01-10;MSFT;27.93;28.15;27.75;27.84
2012-01-11;MSFT;27.43;27.98;27.370001;27.719999
2012-01-12;MSFT;27.870001;28.02;27.65;28.0
2012-01-13;MSFT;27.93;28.25;27.790001;28.25
2012-01-17;MSFT;28.4;28.65;28.17;28.26
2012-01-18;MSFT;28.309999;28.4;27.969999;28.23
2012-01-19;MSFT;28.16;28.440001;28.030001;28.120001
2012-01-20;MSFT;28.82;29.74;28.75;29.709999
2012-01-23;MSFT;29.549999;29.950001;29.35;29.73
2012-01-24;MSFT;29.469999;29.57;29.18;29.34
2012-01-25;MSFT;29.07;29.65;29.07;29.559999
2012-01-26;MSFT;29.610001;29.700001;29.4;29.5
2012-01-27;MSFT;29.450001;29.530001;29.17;29.23
2012-01-30;MSFT;28.969999;29.620001;28.83;29.610001
2012-01-31;MSFT;29.66;29.700001;29.23;29.530001
2012-02-01;MSFT;29.790001;30.049999;29.76;29.889999
2012-02-02;MSFT;29.9;30.17;29.709999;29.950001
2012-02-03;MSFT;30.139999;30.4;30.09;30.24
2012-02-06;MSFT;30.040001;30.219999;29.969999;30.200001
2012-02-07;MSFT;30.15;30.49;30.049999;30.35
2012-02-08;MSFT;30.26;30.67;30.219999;30.66
2012-02-09;MSFT;30.68;30.799999;30.48;30.77
2012-02-10;MSFT;30.639999;30.799999;30.360001;30.5
2012-02-13;MSFT;30.629999;30.77;30.43;30.58
2012-02-14;MSFT;30.33;30.459999;29.85;30.3149995
2012-02-15;MSFT;30.33;30.389999;30.030001;30.049999
2012-02-16;MSFT;30.309999;31.549999;30.299999;31.290001
2012-02-17;MSFT;31.200001;31.32;30.950001;31.25
2012-02-21;MSFT;31.18;31.610001;31.15;31.440001
2012-02-22;MSFT;31.450001;31.68;31.18;31.27
2012-02-23;MSFT;31.200001;31.59;31.0;31.370001
2012-02-24;MSFT;31.48;31.5;31.24;31.48
2012-02-27;MSFT;31.24;31.5;31.1;31.35
2012-02-28;MSFT;31.41;31.93;31.379999;31.870001
2012-02-29;MSFT;31.889999;32.0;31.610001;31.74
2012-03-01;MSFT;31.93;32.389999;31.85;32.290001
2012-03-02;MSFT;32.310001;32.439999;32.0;32.080002
2012-03-05;MSFT;31.925001;32.2099995;31.744999999999997;31.8200005
2012-03-06;MSFT;31.540001;31.98;31.49;31.559999
2012-03-07;MSFT;31.67;31.92;31.530001;31.84
2012-03-08;MSFT;32.040001;32.209999;31.9;32.009998
2012-03-09;MSFT;32.099998;32.16;31.92;31.99
2012-03-12;MSFT;31.969999;32.200001;31.82;32.040001
2012-03-13;MSFT;32.240002;32.689999;32.150002;32.669998
2012-03-14;MSFT;32.529999;32.880001;32.490002;32.77
2012-03-15;MSFT;32.790001;32.939999;32.580002;32.849998
2012-03-16;MSFT;32.91;32.950001;32.5;32.599998
2012-03-19;MSFT;32.540001;32.610001;32.150002;32.200001
2012-03-20;MSFT;32.099998;32.150002;31.74;31.99
2012-03-21;MSFT;31.959999;32.150002;31.82;31.91
2012-03-22;MSFT;32.0299985;32.1300015;31.7699995;31.959999000000003
2012-03-23;MSFT;32.099998;32.110001;31.719999;32.009998
2012-03-26;MSFT;32.189999;32.610001;32.150002;32.59
2012-03-27;MSFT;32.650002;32.700001;32.400002;32.52
2012-03-28;MSFT;32.52;32.700001;32.040001;32.189999
2012-03-29;MSFT;32.060001;32.189999;31.809999;32.119999
2012-03-30;MSFT;32.400002;32.41;32.040001;32.259998
2012-04-02;MSFT;32.220001;32.459999;31.950001;32.290001
2012-04-03;MSFT;32.16;32.189999;31.66;31.940001
2012-04-04;MSFT;31.66;31.690001;31.049999;31.209999
2012-04-05;MSFT;31.15;31.629999;31.049999;31.52
2012-04-09;MSFT;31.219999;31.4;30.969999;31.1
2012-04-10;MSFT;31.059999;31.190001;30.299999;30.469999
2012-04-11;MSFT;30.43;30.530001;30.23;30.35
2012-04-12;MSFT;30.48;31.040001;30.42;30.98
2012-04-13;MSFT;30.889999;31.16;30.719999;30.809999
2012-04-16;MSFT;30.99;31.190001;30.77;31.08
2012-04-17;MSFT;31.27;31.610001;31.200001;31.440001
2012-04-18;MSFT;31.280001;31.309999;31.040001;31.139999
2012-04-19;MSFT;31.129999;31.68;30.940001;31.01
2012-04-20;MSFT;32.150002;32.889999;32.049999;32.419998
2012-04-23;MSFT;32.310001;32.5;32.029999;32.119999
2012-04-24;MSFT;32.209999;32.52;31.83;31.92
2012-04-25;MSFT;31.92;32.32;31.870001;32.200001
2012-04-26;MSFT;32.119999;32.23;31.92;32.110001
2012-04-27;MSFT;32.119999;32.220001;31.879999;31.98
2012-04-30;MSFT;31.98;32.110001;31.92;32.02
2012-05-01;MSFT;32.049999;32.34;31.950001;32.009998
2012-05-02;MSFT;31.85;31.93;31.639999;31.799999
2012-05-03;MSFT;31.879999;31.9;31.610001;31.76
