Date;Stock;Open;High;Low;Close
2012-01-03;NTDOY;17.23;17.6;17.23;17.51
2012-01-04;NTDOY;17.700001;17.92;17.700001;17.879999
2012-01-05;NTDOY;17.25;17.66;17.25;17.49
2012-01-06;NTDOY;17.309999;17.41;17.24;17.299999
2012-01-09;NTDOY;17.280001;17.459999;17.280001;17.41
2012-01-10;NTDOY;17.1;17.379999;17.1;17.24
2012-01-11;NTDOY;16.959999;17.209999;16.959999;17.200001
2012-01-12;NTDOY;16.969999;17.24;16.969999;17.18
2012-01-13;NTDOY;16.959999;16.959999;16.67;16.76
2012-01-17;NTDOY;17.120001;17.23;16.92;16.959999
2012-01-18;NTDOY;16.52;16.639999;16.4;16.59
2012-01-19;NTDOY;16.59;16.889999;16.59;16.799999
2012-01-20;NTDOY;17.059999;17.469999;17.059999;17.469999
2012-01-23;NTDOY;17.02;17.42;17.02;17.27
2012-01-24;NTDOY;17.15;17.440001;17.15;17.4
2012-01-25;NTDOY;17.26;17.540001;17.26;17.540001
2012-01-26;NTDOY;17.35;17.35;16.129999;16.379999
2012-01-27;NTDOY;16.629999;16.879999;16.559999;16.77
2012-01-30;NTDOY;16.41;16.700001;16.41;16.629999
2012-01-31;NTDOY;16.99;17.01;16.780001;16.940001
2012-02-01;NTDOY;16.83;16.93;16.809999;16.9
2012-02-02;NTDOY;16.83;17.25;16.83;17.059999
2012-02-03;NTDOY;17.059999;17.18;17.059999;17.005000000000003
2012-02-06;NTDOY;16.76;17.120001;16.76;16.950001
2012-02-07;NTDOY;17.290001;17.290001;17.049999;17.24
2012-02-08;NTDOY;17.25;17.4;17.25;17.4
2012-02-09;NTDOY;17.58;17.73;17.43;17.639999
2012-02-10;NTDOY;17.32;17.5;17.15;17.26
2012-02-13;NTDOY;17.49;17.49;17.129999;17.32
2012-02-14;NTDOY;17.139999;17.299999;17.1;17.18
2012-02-15;NTDOY;17.75;17.950001;17.75;17.84
2012-02-16;NTDOY;18.0;18.200001;17.85;18.200001
2012-02-17;NTDOY;18.299999;18.4;18.18;18.370001
2012-02-21;NTDOY;18.200001;18.200001;17.74;17.969999
2012-02-22;NTDOY;18.200001;18.469999;18.200001;18.389999
2012-02-23;NTDOY;18.9;19.219999;18.9;19.219999
2012-02-24;NTDOY;19.309999;19.450001;19.27;19.41
2012-02-27;NTDOY;19.42;19.620001;19.42;19.559999
2012-02-28;NTDOY;19.35;19.35;19.120001;19.16
2012-02-29;NTDOY;18.885;19.01;18.770000500000002;18.915
2012-03-01;NTDOY;18.42;18.67;18.42;18.67
2012-03-02;NTDOY;17.99;18.16;17.99;18.07
2012-03-05;NTDOY;17.77;17.85;17.559999;17.59
2012-03-06;NTDOY;16.99;17.42;16.99;17.139999
2012-03-07;NTDOY;17.203333;17.603333000000003;17.203333;17.399999333333334
2012-03-08;NTDOY;17.416666;17.786666;17.416666;17.659999666666668
2012-03-09;NTDOY;17.629999;17.969999;17.629999;17.92
2012-03-12;NTDOY;17.700001;17.75;17.5;17.51
2012-03-13;NTDOY;17.549999;17.549999;17.32;17.549999
2012-03-14;NTDOY;17.91;18.139999;17.9;18.07
2012-03-15;NTDOY;18.5;18.74;18.5;18.67
2012-03-16;NTDOY;18.67;18.860001;18.67;18.809999
2012-03-19;NTDOY;18.700001;18.73;18.66;18.67
2012-03-20;NTDOY;18.625;18.735;18.604999499999998;18.6899995
2012-03-21;NTDOY;18.549999;18.74;18.549999;18.709999
2012-03-22;NTDOY;19.299999;19.469999;19.299999;19.370001
2012-03-23;NTDOY;19.32;19.32;19.0;19.1
2012-03-26;NTDOY;18.75;18.940001;18.74;18.889999
2012-03-27;NTDOY;18.82;18.879999;18.690001;18.73
2012-03-28;NTDOY;19.08;19.08;18.959999;19.049999
2012-03-29;NTDOY;19.030001;19.049999;18.950001;19.049999
2012-03-30;NTDOY;18.75;18.98;18.75;18.959999
2012-04-02;NTDOY;18.85;19.09;18.85;19.07
2012-04-03;NTDOY;18.629999;18.629999;18.450001;18.49
2012-04-04;NTDOY;18.309999;18.34;18.219999;18.280001
2012-04-05;NTDOY;18.35;18.67;18.35;18.639999
2012-04-09;NTDOY;18.34;18.59;18.33;18.389999
2012-04-10;NTDOY;18.389999;18.450001;18.219999;18.26
2012-04-11;NTDOY;18.27;18.389999;18.26;18.35
2012-04-12;NTDOY;18.17;18.389999;18.17;18.389999
2012-04-13;NTDOY;17.77;17.82;17.6;17.610001
2012-04-16;NTDOY;17.15;17.559999;17.15;17.360001
2012-04-17;NTDOY;17.34;17.549999;17.34;17.5
2012-04-18;NTDOY;17.1;17.299999;17.02;17.09
2012-04-19;NTDOY;17.129999;17.549999;17.07;17.200001
2012-04-20;NTDOY;17.089999;17.424999;17.035;17.193334
2012-04-23;NTDOY;17.049999;17.299999;17.0;17.186667
2012-04-24;NTDOY;17.120001;17.27;17.120001;17.18
2012-04-25;NTDOY;17.18;17.450001;17.15;17.219999
2012-04-26;NTDOY;17.17;17.17;16.709999;17.09
