Date;Stock;Open;High;Low;Close
2012-01-03;SNE;18.280001;18.5;18.280001;18.379999
2012-01-04;SNE;18.24;18.27;18.139999;18.219999
2012-01-05;SNE;17.83;17.85;17.6;17.700001
2012-01-06;SNE;17.57;17.57;17.370001;17.440001
2012-01-09;SNE;17.51;17.51;17.35;17.469999
2012-01-10;SNE;17.700001;17.76;17.610001;17.700001
2012-01-11;SNE;17.610001;17.700001;17.52;17.690001
2012-01-12;SNE;17.25;17.309999;17.110001;17.26
2012-01-13;SNE;17.200001;17.200001;17.01;17.129999
2012-01-17;SNE;17.0;17.0;16.75;16.77
2012-01-18;SNE;16.950001;17.17;16.91;17.120001
2012-01-19;SNE;17.219999;17.360001;17.200001;17.25
2012-01-20;SNE;;;;
2012-01-23;SNE;18.43;18.620001;18.42;18.530001
2012-01-24;SNE;17.959999;18.01;17.799999;17.950001
2012-01-25;SNE;18.459999;18.75;18.42;18.66
2012-01-26;SNE;18.58;18.719999;18.450001;18.51
2012-01-27;SNE;18.42;18.540001;18.290001;18.42
2012-01-30;SNE;18.17;18.190001;18.0;18.110001
2012-01-31;SNE;18.34;18.379999;18.1;18.219999
2012-02-01;SNE;18.059999;18.459999;18.030001;18.190001
2012-02-02;SNE;17.65;17.68;16.85;17.09
2012-02-03;SNE;18.85;19.32;18.790001;19.209999
2012-02-06;SNE;19.360001;19.459999;19.280001;19.440001
2012-02-07;SNE;19.639999;19.709999;19.16;19.68
2012-02-08;SNE;19.790001;20.01;19.780001;19.889999
2012-02-09;SNE;19.940001;20.0;19.799999;19.91
2012-02-10;SNE;19.690001;19.690001;19.41;19.530001
2012-02-13;SNE;19.559999;19.58;19.389999;19.48
2012-02-14;SNE;19.23;19.23;19.0;19.129999
2012-02-15;SNE;19.969999;20.15;19.950001;19.99
2012-02-16;SNE;20.209999;20.52;20.209999;20.5
2012-02-17;SNE;20.65;20.709999;20.52;20.6
2012-02-21;SNE;20.73;20.799999;20.559999;20.66
2012-02-22;SNE;20.860001;20.940001;20.82;20.879999
2012-02-23;SNE;20.92;21.219999;20.83;21.190001
2012-02-24;SNE;21.74;21.85;21.65;21.73
2012-02-27;SNE;21.540001;21.790001;21.4;21.690001
2012-02-28;SNE;22.09;22.35;22.030001;22.26
2012-02-29;SNE;21.790001;21.84;21.379999;21.389999
2012-03-01;SNE;21.49;21.719999;21.389999;21.57
2012-03-02;SNE;21.440001;21.450001;21.27;21.370001
2012-03-05;SNE;20.690001;20.82;20.639999;20.73
2012-03-06;SNE;20.35;20.42;20.219999;20.360001
2012-03-07;SNE;20.389999;20.469999;20.23;20.42
2012-03-08;SNE;20.440001;20.469999;20.32;20.42
2012-03-09;SNE;21.059999;21.459999;20.950001;21.26
2012-03-12;SNE;20.93;21.02;20.780001;20.85
2012-03-13;SNE;20.860001;21.15;20.84;21.139999
2012-03-14;SNE;21.58;21.73;21.43;21.59
2012-03-15;SNE;21.68;21.83;21.6;21.75
2012-03-16;SNE;21.98;22.049999;21.76;21.809999
2012-03-19;SNE;21.620001;21.700001;21.48;21.65
2012-03-20;SNE;21.42;21.440001;21.200001;21.379999
2012-03-21;SNE;20.700001;20.82;20.559999;20.719999
2012-03-22;SNE;20.67;20.67;20.49;20.549999
2012-03-23;SNE;20.16;20.33;20.01;20.32
2012-03-26;SNE;20.51;20.610001;20.43;20.6
2012-03-27;SNE;20.73;21.1;20.68;20.77
2012-03-28;SNE;21.32;21.360001;21.01;21.129999
2012-03-29;SNE;20.950001;21.040001;20.790001;20.93
2012-03-30;SNE;20.889999;20.9;20.639999;20.77
2012-04-02;SNE;20.559999;20.83;20.549999;20.809999
2012-04-03;SNE;20.74;20.76;20.379999;20.5
2012-04-04;SNE;19.879999;19.91;19.620001;19.719999
2012-04-05;SNE;19.950001;20.209999;19.93;20.01
2012-04-09;SNE;20.0;20.16;19.950001;20.1
2012-04-10;SNE;18.49;18.77;18.059999;18.24
2012-04-11;SNE;18.700001;18.76;18.559999;18.75
2012-04-12;SNE;18.719999;18.870001;18.67;18.73
2012-04-13;SNE;18.02;18.059999;17.32;17.360001
2012-04-16;SNE;17.82;17.879999;17.42;17.51
2012-04-17;SNE;17.5;17.59;17.459999;17.5
2012-04-18;SNE;17.0;17.059999;16.6;16.889999
2012-04-19;SNE;16.860001;16.950001;16.65;
2012-04-20;SNE;16.75;16.870001;16.59;16.83
2012-04-23;SNE;16.43;16.559999;16.280001;16.51
2012-04-24;SNE;16.450001;16.66;16.43;16.620001
2012-04-25;SNE;16.379999;16.459999;16.26;16.42
2012-04-26;SNE;16.34;16.6;16.299999;16.5
2012-04-27;SNE;16.34;16.389999;16.17;16.32
2012-04-30;SNE;16.290001;16.290001;16.110001;16.209999
2012-05-01;SNE;;;;
2012-05-02;SNE;15.81;15.81;15.61;15.73
2012-05-03;SNE;15.75;15.75;15.45;15.52
2012-05-04;SNE;15.4;15.45;15.15;15.32
2012-05-07;SNE;15.29;15.38;15.15;15.31
2012-05-08;SNE;15.14;15.15;14.85;15.02
2012-05-09;SNE;15.26;15.33;15.06;15.23
2012-05-10;SNE;;;;
2012-05-11;SNE;14.15;14.26;13.97;14.18
2012-05-14;SNE;14.32;14.34;14.18;14.2
2012-05-15;SNE;14.07;14.14;13.87;13.91
2012-05-16;SNE;13.91;14.01;13.73;13.76
2012-05-17;SNE;14.25;14.36;14.13;14.24
2012-05-18;SNE;13.98;14.05;13.72;13.77
2012-05-21;SNE;13.93;14.14;13.84;14.13
2012-05-22;SNE;14.01;14.15;13.93;14.0
2012-05-23;SNE;13.81;13.85;13.55;13.83
2012-05-24;SNE;13.89;13.91;13.64;13.76
2012-05-25;SNE;13.3;13.38;13.24;13.3
2012-05-29;SNE;13.43;13.57;13.41;13.55
2012-05-30;SNE;13.2;13.2;12.97;13.03
2012-05-31;SNE;13.2;13.3;13.07;13.24
2012-06-01;SNE;12.75;12.77;12.63;12.65
2012-06-04;SNE;12.84;12.84;12.64;12.79
2012-06-05;SNE;13.06;13.33;12.95;13.2
2012-06-06;SNE;13.36;13.64;13.32;13.59
2012-06-07;SNE;13.65;13.69;13.29;13.31
2012-06-08;SNE;12.82;12.88;12.75;12.85
2012-06-11;SNE;13.07;13.08;12.75;12.76
2012-06-12;SNE;12.87;13.1;12.76;13.07
2012-06-13;SNE;12.88;12.94;12.72;12.76
2012-06-14;SNE;12.99;13.02;12.89;12.98
2012-06-15;SNE;13.08;13.2;13.03;13.18
2012-06-18;SNE;13.33;13.52;13.32;13.43
2012-06-19;SNE;13.56;13.69;13.53;13.56
2012-06-20;SNE;13.91;14.12;13.86;13.97
2012-06-21;SNE;13.9;13.93;13.52;13.55
2012-06-22;SNE;14.44;14.47;14.25;14.31
2012-06-25;SNE;14.1;14.14;13.85;13.96
2012-06-26;SNE;13.89;13.91;13.73;13.84
2012-06-27;SNE;13.76;13.88;13.69;13.81
2012-06-28;SNE;13.69;13.77;13.6;13.72
2012-06-29;SNE;14.14;14.27;14.14;14.24
2012-07-02;SNE;14.18;14.2;14.01;14.2
2012-07-03;SNE;14.18;14.31;14.11;14.27
2012-07-05;SNE;13.79;13.83;13.59;13.78
2012-07-06;SNE;13.66;13.68;13.54;13.64
2012-07-09;SNE;13.55;13.58;13.36;13.45
2012-07-10;SNE;13.17;13.25;13.01;13.1
2012-07-11;SNE;12.97;12.98;12.76;12.87
2012-07-12;SNE;12.6;12.6;12.39;12.5
2012-07-13;SNE;12.54;12.72;12.53;12.66
2012-07-16;SNE;12.61;12.74;12.52;12.6
2012-07-17;SNE;12.27;12.34;12.04;12.3
2012-07-18;SNE;12.27;12.4;12.22;12.34
2012-07-19;SNE;12.46;12.57;12.43;12.57
2012-07-20;SNE;12.17;12.18;12.07;12.08
2012-07-23;SNE;11.73;11.77;11.59;11.7
2012-07-24;SNE;11.7;11.74;11.54;11.65
2012-07-25;SNE;11.26;11.36;11.21;11.26
2012-07-26;SNE;11.69;11.94;11.69;11.9
2012-07-27;SNE;12.1;12.44;12.1;12.35
2012-07-30;SNE;12.0;12.09;11.97;12.02
2012-07-31;SNE;12.26;12.29;12.13;12.15
2012-08-01;SNE;12.11;12.36;12.05;12.14
2012-08-02;SNE;11.91;11.94;10.91;
2012-08-03;SNE;11.59;11.75;11.55;11.64
2012-08-06;SNE;11.46;11.64;11.46;11.51
2012-08-07;SNE;11.64;11.74;11.61;11.67
2012-08-08;SNE;11.58;11.74;11.58;11.71
2012-08-09;SNE;11.73;12.01;11.72;11.98
2012-08-10;SNE;12.02;12.4;11.98;12.34
2012-08-13;SNE;12.12;12.29;12.12;
2012-08-14;SNE;11.79;11.81;11.66;11.71
2012-08-15;SNE;11.32;11.4;11.26;11.39
2012-08-16;SNE;11.66;11.86;11.65;11.84
2012-08-17;SNE;11.96;11.98;11.9;11.95
2012-08-20;SNE;11.94;12.03;11.89;12.0
2012-08-21;SNE;12.01;12.1;11.88;11.95
2012-08-22;SNE;11.77;11.84;11.68;11.79
2012-08-23;SNE;11.78;11.79;11.59;11.61
2012-08-24;SNE;11.56;11.79;11.53;11.71
2012-08-27;SNE;11.72;11.73;11.63;11.64
2012-08-28;SNE;11.52;11.56;11.48;11.49
2012-08-29;SNE;11.77;11.8;11.69;11.73
2012-08-30;SNE;11.53;11.55;11.41;11.43
2012-08-31;SNE;11.34;11.41;11.25;11.31
2012-09-04;SNE;11.33;11.36;11.22;
2012-09-05;SNE;11.1;11.11;11.02;11.07
2012-09-06;SNE;11.06;11.28;11.06;11.22
2012-09-07;SNE;11.47;11.68;11.45;11.64
2012-09-10;SNE;11.79;11.85;11.74;11.75
2012-09-11;SNE;11.77;11.96;11.76;11.93
2012-09-12;SNE;11.99;12.1;11.96;
2012-09-13;SNE;12.2;12.52;12.15;12.5
2012-09-14;SNE;12.73;13.6;12.65;13.05
2012-09-17;SNE;13.14;13.54;12.92;13.11
2012-09-18;SNE;13.16;13.37;13.07;13.21
2012-09-19;SNE;13.32;13.36;13.26;13.29
2012-09-20;SNE;12.94;12.99;12.81;12.87
2012-09-21;SNE;12.84;12.86;12.68;12.7
2012-09-24;SNE;12.42;12.42;12.34;12.36
2012-09-25;SNE;12.32;12.39;12.05;12.05
2012-09-26;SNE;11.94;11.94;11.69;11.85
2012-09-27;SNE;11.96;12.21;11.87;12.12
2012-09-28;SNE;11.86;11.87;11.65;11.7
2012-10-01;SNE;11.86;11.97;11.8;11.84
2012-10-02;SNE;11.9;11.97;11.79;11.85
2012-10-03;SNE;11.88;11.91;11.79;11.89
2012-10-04;SNE;11.79;11.81;11.72;11.74
2012-10-05;SNE;12.1;12.2;11.98;12.0
2012-10-08;SNE;11.93;12.0;11.9;11.91
2012-10-09;SNE;11.59;11.64;11.49;11.51
2012-10-10;SNE;11.45;11.48;11.32;11.37
2012-10-11;SNE;;;;
2012-10-12;SNE;11.52;11.59;11.3;
2012-10-15;SNE;11.63;11.71;11.59;11.69
2012-10-16;SNE;;;;
2012-10-17;SNE;12.17;12.27;12.16;12.23
2012-10-18;SNE;12.35;12.4;12.28;12.35
2012-10-19;SNE;;;;
2012-10-22;SNE;12.28;12.37;12.21;12.35
2012-10-23;SNE;12.1;12.12;11.91;12.09
2012-10-24;SNE;12.18;12.2;11.99;12.02
2012-10-25;SNE;11.99;12.03;11.82;11.9
2012-10-26;SNE;11.76;11.88;11.76;11.85
2012-10-31;SNE;11.94;11.97;11.71;11.74
2012-11-01;SNE;11.69;11.97;11.67;11.82
2012-11-02;SNE;11.68;11.68;11.32;11.33
2012-11-05;SNE;11.35;11.36;11.08;11.25
2012-11-06;SNE;11.18;11.23;11.08;11.18
2012-11-07;SNE;11.29;11.29;11.04;
2012-11-08;SNE;11.06;11.1;10.87;10.9
2012-11-09;SNE;10.94;11.0;10.83;10.86
2012-11-12;SNE;10.77;10.79;10.61;10.65
2012-11-13;SNE;10.77;10.83;10.7;10.77
2012-11-14;SNE;10.05;10.09;9.77;9.82
2012-11-15;SNE;9.79;9.92;9.77;9.81
2012-11-16;SNE;10.07;10.17;9.97;10.12
2012-11-19;SNE;10.15;10.22;10.1;10.19
2012-11-20;SNE;10.08;10.08;9.89;9.99
2012-11-21;SNE;10.02;10.09;9.99;10.08
2012-11-23;SNE;9.85;10.12;9.85;10.02
2012-11-26;SNE;9.93;9.94;9.82;9.9
2012-11-27;SNE;9.86;9.89;9.72;9.74
2012-11-28;SNE;9.67;9.81;9.59;9.79
2012-11-29;SNE;9.79;9.91;9.76;9.9
2012-11-30;SNE;9.73;9.77;9.71;9.74
2012-12-03;SNE;9.72;9.75;9.63;9.69
2012-12-04;SNE;9.64;9.71;9.6;9.63
2012-12-05;SNE;9.6;9.77;9.57;9.7
2012-12-06;SNE;9.89;10.05;9.85;10.01
2012-12-07;SNE;10.07;10.15;10.04;10.12
2012-12-10;SNE;9.97;10.0;9.87;9.98
2012-12-11;SNE;9.87;9.96;9.85;9.89
2012-12-12;SNE;10.1;10.28;10.03;10.23
2012-12-13;SNE;10.54;10.81;10.52;10.73
2012-12-14;SNE;10.8;10.98;10.8;10.96
2012-12-17;SNE;10.97;11.02;10.92;11.0
2012-12-18;SNE;11.0;11.15;10.99;11.12
2012-12-19;SNE;11.14;11.3;10.96;10.97
2012-12-20;SNE;10.97;11.13;10.92;11.13
2012-12-21;SNE;10.9;11.0;10.84;10.93
2012-12-24;SNE;10.95;10.99;10.91;10.91
2012-12-26;SNE;11.1;11.22;11.01;11.11
2012-12-27;SNE;11.03;11.09;10.94;11.04
2012-12-28;SNE;11.02;11.1;10.97;
2012-12-31;SNE;11.02;11.21;10.99;11.2
2013-01-02;SNE;11.46;11.54;11.38;11.51
2013-01-03;SNE;11.45;11.57;11.41;11.49
2013-01-04;SNE;11.11;11.24;11.08;
2013-01-07;SNE;10.97;11.06;10.87;10.97
2013-01-08;SNE;10.82;10.83;10.59;10.72
2013-01-09;SNE;10.77;10.83;10.71;10.74
2013-01-10;SNE;11.02;11.1;10.99;11.05
2013-01-11;SNE;11.13;11.17;11.07;
2013-01-14;SNE;11.18;11.34;11.18;11.28
2013-01-15;SNE;11.22;11.25;11.13;11.23
2013-01-16;SNE;11.22;11.44;11.17;11.2
2013-01-17;SNE;11.55;11.98;11.52;11.91
2013-01-18;SNE;12.66;12.74;12.48;12.7
2013-01-22;SNE;13.18;13.38;13.11;13.35
2013-01-23;SNE;13.16;13.29;13.08;13.25
2013-01-24;SNE;13.41;13.56;13.36;13.52
2013-01-25;SNE;14.32;14.46;14.25;14.41
2013-01-28;SNE;15.49;15.49;14.83;15.12
2013-01-29;SNE;15.11;15.23;15.0;15.14
2013-01-30;SNE;15.1;15.17;14.97;14.99
2013-01-31;SNE;14.89;14.98;14.63;14.94
2013-02-01;SNE;14.71;15.14;14.64;15.13
2013-02-04;SNE;15.76;15.79;15.44;15.48
2013-02-05;SNE;15.73;15.93;15.67;15.83
2013-02-06;SNE;15.66;15.85;15.52;15.82
2013-02-07;SNE;15.27;15.45;14.56;15.13
2013-02-08;SNE;14.7;15.0;14.67;14.92
2013-02-11;SNE;15.0;15.05;14.9;14.99
2013-02-12;SNE;14.77;14.81;14.58;14.68
2013-02-13;SNE;14.16;14.32;14.13;14.21
2013-02-14;SNE;14.27;14.46;14.16;14.23
2013-02-15;SNE;14.29;14.39;14.23;14.34
2013-02-19;SNE;14.54;14.72;14.54;14.65
2013-02-20;SNE;14.75;14.78;14.44;14.47
2013-02-21;SNE;14.31;14.32;13.94;14.08
2013-02-22;SNE;13.99;14.13;13.89;14.07
2013-02-25;SNE;14.21;14.32;13.75;13.79
2013-02-26;SNE;13.94;14.05;13.88;14.04
2013-02-27;SNE;14.07;14.36;14.05;14.34
2013-02-28;SNE;14.38;14.65;14.35;14.58
2013-03-01;SNE;14.98;15.28;14.85;15.23
2013-03-04;SNE;15.49;15.6;15.23;15.57
2013-03-05;SNE;15.45;15.58;15.42;15.51
2013-03-06;SNE;15.74;15.95;15.73;15.84
2013-03-07;SNE;15.56;15.71;15.22;15.56
2013-03-08;SNE;15.55;15.66;15.44;15.59
2013-03-11;SNE;15.67;16.02;15.66;15.96
2013-03-12;SNE;15.44;15.72;15.24;15.55
2013-03-13;SNE;15.68;15.77;15.59;15.73
2013-03-14;SNE;15.86;16.030001;15.86;16.030001
2013-03-15;SNE;17.26;17.389999;17.200001;17.26
2013-03-18;SNE;16.530001;16.959999;16.42;16.809999
2013-03-19;SNE;17.370001;17.450001;17.049999;
2013-03-20;SNE;17.33;17.74;17.290001;17.709999
2013-03-21;SNE;;;;
2013-03-22;SNE;17.58;17.75;17.530001;17.68
2013-03-25;SNE;18.0;18.059999;17.540001;17.77
2013-03-26;SNE;17.57;17.610001;17.35;17.49
2013-03-27;SNE;17.35;17.66;17.35;17.639999
2013-03-28;SNE;17.32;17.450001;17.309999;17.4
2013-04-01;SNE;16.870001;16.9;16.540001;16.6
2013-04-02;SNE;16.83;17.200001;16.76;17.0
2013-04-03;SNE;16.83;16.879999;16.209999;16.43
2013-04-04;SNE;16.870001;17.110001;16.84;17.0
2013-04-05;SNE;16.379999;16.690001;16.23;16.690001
2013-04-08;SNE;16.92;17.049999;16.85;17.02
2013-04-09;SNE;16.639999;16.870001;16.610001;16.790001
2013-04-10;SNE;16.799999;16.98;16.799999;16.93
2013-04-11;SNE;16.92;16.940001;16.73;16.9
2013-04-12;SNE;16.67;16.75;16.450001;16.67
2013-04-15;SNE;16.82;16.870001;16.389999;16.48
2013-04-16;SNE;;;;
2013-04-17;SNE;16.48;16.530001;16.200001;16.41
2013-04-18;SNE;16.35;16.35;16.09;16.18
2013-04-19;SNE;16.540001;16.709999;16.43;16.65
2013-04-22;SNE;16.440001;16.52;16.299999;16.52
2013-04-23;SNE;16.5;16.85;16.5;16.67
2013-04-24;SNE;16.450001;16.6;16.41;16.49
2013-04-25;SNE;17.1;17.51;16.91;17.200001
2013-04-26;SNE;16.639999;16.860001;16.280001;16.48
2013-04-29;SNE;16.459999;16.59;16.440001;16.559999
2013-04-30;SNE;16.49;16.530001;16.33;16.43
2013-05-01;SNE;;;;
2013-05-02;SNE;16.75;16.85;16.59;16.790001
2013-05-03;SNE;16.92;17.18;16.790001;17.16
2013-05-06;SNE;17.07;17.219999;17.059999;17.129999
2013-05-07;SNE;17.549999;17.75;17.469999;17.700001
2013-05-08;SNE;17.82;18.120001;17.76;17.940001
2013-05-09;SNE;17.860001;18.25;17.540001;18.08
2013-05-10;SNE;17.799999;18.08;17.74;17.92
2013-05-13;SNE;18.290001;19.209999;18.25;18.889999
2013-05-14;SNE;;;;
2013-05-15;SNE;20.51;20.620001;20.299999;20.450001
2013-05-16;SNE;20.200001;20.57;20.09;20.1
2013-05-17;SNE;;;;
2013-05-20;SNE;21.09;21.200001;20.82;20.969999
2013-05-21;SNE;21.16;23.1;20.92;22.91
2013-05-22;SNE;23.0;23.379999;22.120001;22.15
2013-05-23;SNE;20.74;21.709999;20.620001;21.629999
2013-05-24;SNE;20.879999;21.139999;20.799999;20.959999
2013-05-28;SNE;20.67;20.99;20.610001;20.67
2013-05-29;SNE;20.01;20.25;19.91;20.1
2013-05-30;SNE;20.120001;21.51;20.110001;20.84
2013-05-31;SNE;20.18;20.450001;20.139999;20.15
2013-06-03;SNE;19.4;19.549999;18.91;19.540001
2013-06-04;SNE;20.1;20.200001;19.57;19.82
2013-06-05;SNE;19.34;19.48;18.940001;19.0
2013-06-06;SNE;18.85;19.030001;18.59;18.959999
2013-06-07;SNE;19.34;19.66;19.09;19.559999
2013-06-10;SNE;20.280001;20.360001;20.030001;20.110001
2013-06-11;SNE;20.59;20.6;20.139999;20.299999
2013-06-12;SNE;20.629999;20.66;20.18;20.280001
2013-06-13;SNE;20.73;21.059999;20.27;21.030001
2013-06-14;SNE;20.280001;20.41;19.690001;19.879999
2013-06-17;SNE;;;;
2013-06-18;SNE;21.559999;21.6;21.280001;21.4
2013-06-19;SNE;21.129999;21.17;20.49;20.49
2013-06-20;SNE;20.610001;20.620001;19.950001;20.040001
2013-06-21;SNE;20.48;20.5;19.969999;20.379999
2013-06-24;SNE;19.9;20.120001;19.639999;19.940001
2013-06-25;SNE;20.33;20.459999;20.129999;20.4
2013-06-26;SNE;20.709999;20.9;20.68;20.84
2013-06-27;SNE;20.950001;21.24;20.91;21.200001
2013-06-28;SNE;21.1;21.41;21.059999;21.190001
2013-07-01;SNE;21.5;21.690001;21.280001;21.469999
2013-07-02;SNE;21.85;22.1;21.719999;21.809999
2013-07-03;SNE;21.379999;21.66;21.379999;21.65
2013-07-05;SNE;21.879999;21.940001;21.51;21.76
2013-07-08;SNE;21.540001;21.700001;21.530001;21.610001
2013-07-09;SNE;21.780001;21.889999;21.66;21.780001
2013-07-10;SNE;21.68;21.93;21.67;21.77
2013-07-11;SNE;22.110001;22.25;22.049999;22.200001
2013-07-12;SNE;21.98;22.190001;21.93;22.190001
2013-07-15;SNE;22.25;22.299999;22.17;22.24
2013-07-16;SNE;22.15;22.219999;21.93;21.959999
2013-07-17;SNE;22.17;22.190001;22.049999;22.1
2013-07-18;SNE;22.1;22.18;21.98;22.139999
2013-07-19;SNE;22.030001;22.17;21.92;
2013-07-22;SNE;22.290001;22.68;22.280001;22.59
2013-07-23;SNE;;;;
2013-07-24;SNE;23.040001;23.049999;22.68;
2013-07-25;SNE;22.01;22.15;21.77;22.110001
2013-07-26;SNE;21.59;21.65;21.43;21.58
2013-07-29;SNE;21.049999;21.4;20.98;21.24
2013-07-30;SNE;21.48;21.780001;21.48;21.629999
2013-07-31;SNE;21.200001;21.49;20.719999;21.040001
2013-08-01;SNE;21.93;22.25;21.620001;21.959999
2013-08-02;SNE;21.290001;21.700001;21.290001;21.620001
2013-08-05;SNE;21.629999;21.82;21.59;21.76
2013-08-06;SNE;20.889999;20.91;20.379999;20.719999
2013-08-07;SNE;20.290001;20.440001;20.110001;20.129999
2013-08-08;SNE;20.16;20.360001;19.959999;20.200001
2013-08-09;SNE;20.360001;20.360001;20.110001;20.15
2013-08-12;SNE;20.07;20.129999;19.92;20.0
2013-08-13;SNE;20.200001;20.200001;20.02;20.129999
2013-08-14;SNE;20.25;20.299999;20.07;
2013-08-15;SNE;20.02;20.07;19.83;19.860001
2013-08-16;SNE;20.1;20.209999;19.93;19.98
2013-08-19;SNE;20.059999;20.219999;19.889999;19.92
2013-08-20;SNE;19.790001;19.959999;19.66;19.950001
2013-08-21;SNE;;;;
2013-08-22;SNE;19.67;19.76;19.610001;19.709999
2013-08-23;SNE;20.040001;20.25;19.959999;20.209999
2013-08-26;SNE;20.129999;20.200001;20.059999;20.1
2013-08-27;SNE;20.57;20.65;20.309999;20.379999
2013-08-28;SNE;20.16;20.26;20.049999;20.16
2013-08-29;SNE;20.139999;20.309999;20.129999;20.18
2013-08-30;SNE;20.120001;20.16;19.889999;19.959999
2013-09-03;SNE;20.4;20.690001;20.360001;
2013-09-04;SNE;20.51;20.83;20.459999;20.809999
2013-09-05;SNE;20.77;21.139999;20.76;21.09
2013-09-06;SNE;21.120001;21.18;20.879999;21.02
2013-09-09;SNE;21.17;21.629999;21.059999;21.610001
2013-09-10;SNE;21.65;21.76;21.59;21.719999
2013-09-11;SNE;21.299999;21.42;21.219999;21.42
2013-09-12;SNE;21.280001;21.290001;21.049999;21.16
2013-09-13;SNE;21.209999;21.209999;20.9;
2013-09-16;SNE;21.379999;21.48;21.32;21.459999
2013-09-17;SNE;21.5;21.780001;21.49;21.66
2013-09-18;SNE;21.700001;21.93;21.370001;21.879999
2013-09-19;SNE;21.75;21.940001;21.6;21.629999
2013-09-20;SNE;21.65;21.65;21.26;21.360001
2013-09-23;SNE;21.389999;21.4;21.07;21.290001
2013-09-24;SNE;21.379999;21.5;21.209999;21.370001
2013-09-25;SNE;21.280001;21.280001;21.030001;21.110001
2013-09-26;SNE;21.299999;21.440001;21.18;21.299999
2013-09-27;SNE;21.299999;21.34;21.15;21.290001
2013-09-30;SNE;21.299999;21.6;21.25;21.52
2013-10-01;SNE;21.379999;21.5;21.299999;21.4
2013-10-02;SNE;21.120001;21.200001;20.91;21.200001
2013-10-03;SNE;;;;
2013-10-04;SNE;20.73;20.93;20.690001;20.870001
2013-10-07;SNE;20.469999;20.559999;20.24;20.27
2013-10-08;SNE;19.950001;19.959999;19.42;19.610001
2013-10-09;SNE;19.83;19.860001;19.51;19.75
2013-10-10;SNE;19.59;19.620001;19.23;19.57
2013-10-11;SNE;19.6;20.0;19.6;19.959999
2013-10-14;SNE;19.799999;20.059999;19.65;19.93
2013-10-15;SNE;19.860001;19.9;19.59;19.700001
2013-10-16;SNE;19.629999;19.799999;19.6;19.76
2013-10-17;SNE;19.75;20.059999;19.709999;20.030001
2013-10-18;SNE;19.870001;19.879999;19.5;19.610001
2013-10-21;SNE;19.67;19.719999;19.549999;19.68
2013-10-22;SNE;19.77;19.85;19.629999;19.790001
