Date;Intel;Sony;Nintendo;Microsoft
2012-01-03;24.540001;18.379999;17.51;26.77
2012-01-04;24.970000499999998;18.219999;17.879999;27.4
2012-01-05;25.4;17.700001;17.49;27.68
2012-01-06;25.25;17.440001;17.299999;28.110001
2012-01-09;25.469999;17.469999;17.41;27.74
2012-01-10;25.59;17.700001;17.24;27.84
2012-01-11;25.799999;17.690001;17.200001;27.719999
2012-01-12;25.75;17.26;17.18;28.0
2012-01-13;25.139999;17.129999;16.76;28.25
2012-01-17;25.040001;16.77;16.959999;28.26
2012-01-18;25.335;17.120001;16.59;28.23
2012-01-19;25.629999;17.25;16.799999;28.120001
2012-01-20;26.379999;17.8900005;17.469999;29.709999
2012-01-23;26.709999;18.530001;17.27;29.73
2012-01-24;26.9;17.950001;17.4;29.34
2012-01-25;26.9;18.66;17.540001;29.559999
2012-01-26;26.75;18.51;16.379999;29.5
2012-01-27;26.73;18.42;16.77;29.23
2012-01-30;26.74;18.110001;16.629999;29.610001
2012-01-31;26.42;18.219999;16.940001;29.530001
2012-02-01;26.549999;18.190001;16.9;29.889999
2012-02-02;26.49;17.09;17.059999;29.950001
2012-02-03;26.74;19.209999;17.005000000000003;30.24
2012-02-06;26.719999;19.440001;16.950001;30.200001
2012-02-07;26.639999;19.68;17.24;30.35
2012-02-08;26.85;19.889999;17.4;30.66
2012-02-09;26.860001;19.91;17.639999;30.77
2012-02-10;26.700001;19.530001;17.26;30.5
2012-02-13;26.700001;19.48;17.32;30.58
2012-02-14;26.780001;19.129999;17.18;30.3149995
2012-02-15;26.58;19.99;17.84;30.049999
2012-02-16;26.83;20.5;18.200001;31.290001
2012-02-17;26.994999999999997;20.6;18.370001;31.25
2012-02-21;27.16;20.66;17.969999;31.440001
2012-02-22;26.73;20.879999;18.389999;31.27
2012-02-23;26.66;21.190001;19.219999;31.370001
2012-02-24;26.700001;21.73;19.41;31.48
2012-02-27;26.889999;21.690001;19.559999;31.35
2012-02-28;27.24;22.26;19.16;31.870001
2012-02-29;26.879999;21.389999;18.915;31.74
2012-03-01;26.860001;21.57;18.67;32.290001
2012-03-02;26.92;21.370001;18.07;32.080002
2012-03-05;26.540001;20.73;17.59;31.8200005
2012-03-06;26.610001;20.360001;17.139999;31.559999
2012-03-07;26.91;20.42;17.399999333333334;31.84
2012-03-08;26.84;20.42;17.659999666666668;32.009998
2012-03-09;27.07;21.26;17.92;31.99
2012-03-12;26.99;20.85;17.51;32.040001
2012-03-13;27.49;21.139999;17.549999;32.669998
2012-03-14;27.459999;21.59;18.07;32.77
2012-03-15;27.75;21.75;18.67;32.849998
2012-03-16;27.73;21.809999;18.809999;32.599998
2012-03-19;27.74;21.65;18.67;32.200001
2012-03-20;27.75;21.379999;18.6899995;31.99
2012-03-21;27.780001;20.719999;18.709999;31.91
2012-03-22;27.9;20.549999;19.370001;31.959999000000003
2012-03-23;27.879999;20.32;19.1;32.009998
2012-03-26;28.190001;20.6;18.889999;32.59
2012-03-27;28.190001;20.77;18.73;32.52
2012-03-28;27.799999;21.129999;19.049999;32.189999
2012-03-29;28.16;20.93;19.049999;32.119999
2012-03-30;28.120001;20.77;18.959999;32.259998
2012-04-02;28.115001;20.809999;19.07;32.290001
2012-04-03;28.110001;20.5;18.49;31.940001
2012-04-04;27.93;19.719999;18.280001;31.209999
2012-04-05;28.07;20.01;18.639999;31.52
2012-04-09;27.76;20.1;18.389999;31.1
2012-04-10;27.450001;18.24;18.26;30.469999
2012-04-11;27.85;18.75;18.35;30.35
2012-04-12;28.48;18.73;18.389999;30.98
2012-04-13;28.09;17.360001;17.610001;30.809999
2012-04-16;28.41;17.51;17.360001;31.08
2012-04-17;28.469999;17.5;17.5;31.440001
2012-04-18;27.950001;16.889999;17.09;31.139999
2012-04-19;27.690001;16.8599995;17.200001;31.01
2012-04-20;27.6;16.83;17.193334;32.419998
2012-04-23;27.450001;16.51;17.186667;32.119999
2012-04-24;27.706667;16.620001;17.18;31.92
2012-04-25;27.963333000000002;16.42;17.219999;32.200001
2012-04-26;28.219999;16.5;17.09;32.110001
2012-04-27;28.379999;16.32;16.904999500000002;31.98
2012-04-30;28.4;16.209999;16.719999;32.02
