date;open;close;diff;diffAbs
2018-01-02;312.0;320.53;8.53;8.53
2018-01-03;321.0;317.25;-3.75;3.75
2018-01-04;312.87;314.62;1.75;1.75
2018-01-05;316.62;316.58;-0.04;0.04
2018-01-06;316.31;326.5;10.19;10.19
2018-01-07;316.31;326.5;10.19;10.19
2018-01-08;316.0;336.41;20.41;20.41
2018-01-09;335.16;333.69;-1.47;1.47
2018-01-10;332.2;334.8;2.6;2.6
2018-01-11;335.24;337.95;2.71;2.71
2018-01-12;338.63;336.22;-2.41;2.41
2018-01-13;338.08;338.14;0.06;0.06
2018-01-14;338.08;338.14;0.06;0.06
2018-01-15;338.08;338.14;0.06;0.06
2018-01-16;337.54;340.06;2.52;2.52
2018-01-17;340.47;347.16;6.69;6.69
2018-01-18;345.67;344.57;-1.1;1.1
2018-01-19;345.0;350.02;5.02;5.02
2018-01-20;347.2;350.79;3.59;3.59
2018-01-21;347.2;350.79;3.59;3.59
2018-01-22;349.4;351.56;2.16;2.16
2018-01-23;360.0;352.79;-7.21;7.21
2018-01-24;354.58;345.89;-8.69;8.69
2018-01-25;348.27;337.64;-10.63;10.63
2018-01-26;341.5;342.85;1.35;1.35
2018-01-27;340.68;346.19;5.51;5.51
2018-01-28;340.68;346.19;5.51;5.51
2018-01-29;339.85;349.53;9.68;9.68
2018-01-30;345.14;345.82;0.68;0.68
2018-01-31;347.51;354.31;6.8;6.8
2018-02-01;351.0;349.25;-1.75;1.75
2018-02-02;348.44;343.75;-4.69;4.69
2018-02-03;343.21;338.44;-4.77;4.77
2018-02-04;343.21;338.44;-4.77;4.77
2018-02-05;337.97;333.13;-4.84;4.84
2018-02-06;325.21;333.97;8.76;8.76
2018-02-07;338.99;345.0;6.01;6.01
2018-02-08;343.31;315.23;-28.08;28.08
2018-02-09;319.93;310.42;-9.51;9.51
2018-02-10;318.03;313.08;-4.95;4.95
2018-02-11;318.03;313.08;-4.95;4.95
2018-02-12;316.13;315.73;-0.4;0.4
2018-02-13;315.02;323.66;8.64;8.64
2018-02-14;320.84;322.31;1.47;1.47
2018-02-15;324.5;334.07;9.57;9.57
2018-02-16;332.5;335.49;2.99;2.99
2018-02-17;333.48;335.13;1.65;1.65
2018-02-18;333.48;335.13;1.65;1.65
2018-02-19;333.48;335.13;1.65;1.65
2018-02-20;334.47;334.77;0.3;0.3
2018-02-21;336.03;333.3;-2.73;2.73
2018-02-22;335.53;346.17;10.64;10.64
2018-02-23;347.83;352.05;4.22;4.22
2018-02-24;350.66;354.74;4.08;4.08
2018-02-25;350.66;354.74;4.08;4.08
2018-02-26;353.5;357.42;3.92;3.92
2018-02-27;356.25;350.99;-5.26;5.26
2018-02-28;352.57;343.06;-9.51;9.51
2018-03-01;345.01;330.93;-14.08;14.08
2018-03-02;326.98;335.12;8.14;8.14
2018-03-03;329.68;334.24;4.56;4.56
2018-03-04;329.68;334.24;4.56;4.56
2018-03-05;332.39;333.35;0.96;0.96
2018-03-06;333.75;328.2;-5.55;5.55
2018-03-07;325.44;332.3;6.86;6.86
2018-03-08;332.86;329.1;-3.76;3.76
2018-03-09;324.1;327.17;3.07;3.07
2018-03-10;326.36;336.34;9.98;9.98
2018-03-11;326.36;336.34;9.98;9.98
2018-03-12;328.61;345.51;16.9;16.9
2018-03-13;344.92;341.84;-3.08;3.08
2018-03-14;336.76;326.63;-10.13;10.13
2018-03-15;329.38;325.6;-3.78;3.78
2018-03-16;325.96;321.35;-4.61;4.61
2018-03-17;321.23;317.46;-3.77;3.77
2018-03-18;321.23;317.46;-3.77;3.77
2018-03-19;316.5;313.56;-2.94;2.94
2018-03-20;314.87;310.55;-4.32;4.32
2018-03-21;310.25;316.53;6.28;6.28
2018-03-22;313.89;309.1;-4.79;4.79
2018-03-23;311.25;301.54;-9.71;9.71
2018-03-24;309.29;302.86;-6.43;6.43
2018-03-25;309.29;302.86;-6.43;6.43
2018-03-26;307.34;304.18;-3.16;3.16
2018-03-27;304.0;279.18;-24.82;24.82
2018-03-28;264.58;257.78;-6.8;6.8
2018-03-29;256.49;266.13;9.64;9.64
2018-03-30;256.38;259.3;2.92;2.92
2018-03-31;256.38;259.3;2.92;2.92
2018-04-01;256.38;259.3;2.92;2.92
2018-04-02;256.26;252.48;-3.78;3.78
2018-04-03;269.82;267.53;-2.29;2.29
2018-04-04;252.78;286.94;34.16;34.16
2018-04-05;289.34;305.72;16.38;16.38
2018-04-06;301.0;299.3;-1.7;1.7
2018-04-07;300.68;294.48;-6.2;6.2
2018-04-08;300.68;294.48;-6.2;6.2
2018-04-09;300.37;289.66;-10.71;10.71
2018-04-10;298.97;304.7;5.73;5.73
2018-04-11;300.74;300.93;0.19;0.19
2018-04-12;302.32;294.08;-8.24;8.24
2018-04-13;303.6;300.34;-3.26;3.26
2018-04-14;301.3;295.77;-5.53;5.53
2018-04-15;301.3;295.77;-5.53;5.53
2018-04-16;299.0;291.21;-7.79;7.79
2018-04-17;288.87;287.69;-1.18;1.18
2018-04-18;291.08;293.35;2.27;2.27
2018-04-19;291.08;300.08;9.0;9.0
2018-04-20;295.17;290.24;-4.93;4.93
2018-04-21;293.23;286.8;-6.43;6.43
2018-04-22;293.23;286.8;-6.43;6.43
2018-04-23;291.29;283.37;-7.92;7.92
2018-04-24;285.0;283.46;-1.54;1.54
2018-04-25;283.5;280.69;-2.81;2.81
2018-04-26;278.75;285.48;6.73;6.73
2018-04-27;285.37;294.08;8.71;8.71
2018-04-28;289.49;293.99;4.5;4.5
2018-04-29;289.49;293.99;4.5;4.5
2018-04-30;293.61;293.9;0.29;0.29
2018-05-01;293.51;299.92;6.41;6.41
2018-05-02;298.57;301.15;2.58;2.58
2018-05-03;278.79;284.45;5.66;5.66
2018-05-04;283.0;294.09;11.09;11.09
2018-05-05;290.25;298.43;8.18;8.18
2018-05-06;290.25;298.43;8.18;8.18
2018-05-07;297.5;302.77;5.27;5.27
2018-05-08;300.8;301.97;1.17;1.17
2018-05-09;300.41;306.85;6.44;6.44
2018-05-10;307.5;305.02;-2.48;2.48
2018-05-11;307.7;301.06;-6.64;6.64
2018-05-12;305.51;296.52;-8.99;8.99
2018-05-13;305.51;296.52;-8.99;8.99
2018-05-14;303.32;291.97;-11.35;11.35
2018-05-15;285.01;284.18;-0.83;0.83
2018-05-16;283.83;286.48;2.65;2.65
2018-05-17;285.9;284.54;-1.36;1.36
2018-05-18;285.9;284.54;-1.36;1.36
2018-05-19;283.62;284.52;0.9;0.9
2018-05-20;283.62;284.52;0.9;0.9
2018-05-21;281.33;284.49;3.16;3.16
2018-05-22;287.76;275.01;-12.75;12.75
2018-05-23;277.76;279.07;1.31;1.31
2018-05-24;278.4;277.85;-0.55;0.55
2018-05-25;277.63;278.85;1.22;1.22
2018-05-26;278.07;281.3;3.23;3.23
2018-05-27;278.07;281.3;3.23;3.23
2018-05-28;278.07;281.3;3.23;3.23
2018-05-29;278.51;283.76;5.25;5.25
2018-05-30;283.29;291.72;8.43;8.43
2018-05-31;287.21;284.73;-2.48;2.48
2018-06-01;285.86;291.82;5.96;5.96
2018-06-02;290.1;294.28;4.18;4.18
2018-06-03;290.1;294.28;4.18;4.18
2018-06-04;294.34;296.74;2.4;2.4
2018-06-05;297.7;291.13;-6.57;6.57
2018-06-06;300.5;319.5;19.0;19.0
2018-06-07;316.15;316.09;-0.06;0.06
2018-06-08;319.0;317.66;-1.34;1.34
2018-06-09;320.76;324.88;4.12;4.12
2018-06-10;320.76;324.88;4.12;4.12
2018-06-11;322.51;332.1;9.59;9.59
2018-06-12;344.7;342.77;-1.93;1.93
2018-06-13;346.71;344.78;-1.93;1.93
2018-06-14;347.63;357.72;10.09;10.09
2018-06-15;353.84;358.17;4.33;4.33
2018-06-16;354.62;364.5;9.88;9.88
2018-06-17;354.62;364.5;9.88;9.88
2018-06-18;355.4;370.83;15.43;15.43
2018-06-19;365.16;352.55;-12.61;12.61
2018-06-20;358.04;362.22;4.18;4.18
2018-06-21;362.0;347.51;-14.49;14.49
2018-06-22;351.54;333.63;-17.91;17.91
2018-06-23;340.83;333.32;-7.51;7.51
2018-06-24;340.83;333.32;-7.51;7.51
2018-06-25;330.12;333.01;2.89;2.89
2018-06-26;336.05;342.0;5.95;5.95
2018-06-27;345.0;344.5;-0.5;0.5
2018-06-28;348.66;349.93;1.27;1.27
2018-06-29;353.33;342.95;-10.38;10.38
2018-06-30;356.7;339.01;-17.69;17.69
2018-07-01;356.7;339.01;-17.69;17.69
2018-07-02;360.07;335.07;-25.0;25.0
2018-07-03;331.75;310.86;-20.89;20.89
2018-07-04;322.76;310.01;-12.75;12.75
2018-07-05;313.76;309.16;-4.6;4.6
2018-07-06;304.95;308.9;3.95;3.95
2018-07-07;308.47;313.7;5.23;5.23
2018-07-08;308.47;313.7;5.23;5.23
2018-07-09;311.99;318.51;6.52;6.52
2018-07-10;324.56;322.47;-2.09;2.09
2018-07-11;315.8;318.96;3.16;3.16
2018-07-12;321.43;316.71;-4.72;4.72
2018-07-13;315.58;318.87;3.29;3.29
2018-07-14;313.64;314.48;0.84;0.84
2018-07-15;313.64;314.48;0.84;0.84
2018-07-16;311.71;310.1;-1.61;1.61
2018-07-17;308.81;322.69;13.88;13.88
2018-07-18;325.0;323.85;-1.15;1.15
2018-07-19;316.33;320.23;3.9;3.9
2018-07-20;321.23;313.58;-7.65;7.65
2018-07-21;311.53;308.39;-3.14;3.14
2018-07-22;311.53;308.39;-3.14;3.14
2018-07-23;301.84;303.2;1.36;1.36
2018-07-24;304.42;297.43;-6.99;6.99
2018-07-25;296.74;308.74;12.0;12.0
2018-07-26;304.85;306.65;1.8;1.8
2018-07-27;307.25;297.18;-10.07;10.07
2018-07-28;301.58;293.68;-7.9;7.9
2018-07-29;301.58;293.68;-7.9;7.9
2018-07-30;295.9;290.17;-5.73;5.73
2018-07-31;292.25;298.14;5.89;5.89
2018-08-01;297.99;300.84;2.85;2.85
2018-08-02;328.44;349.54;21.1;21.1
2018-08-03;347.81;348.17;0.36;0.36
2018-08-04;346.64;345.08;-1.56;1.56
2018-08-05;346.64;345.08;-1.56;1.56
2018-08-06;345.46;341.99;-3.47;3.47
2018-08-07;343.84;379.57;35.73;35.73
2018-08-08;369.09;370.34;1.25;1.25
2018-08-09;365.55;352.45;-13.1;13.1
2018-08-10;354.0;355.49;1.49;1.49
2018-08-11;357.56;355.95;-1.61;1.61
2018-08-12;357.56;355.95;-1.61;1.61
2018-08-13;361.13;356.41;-4.72;4.72
2018-08-14;358.45;347.64;-10.81;10.81
2018-08-15;341.91;338.69;-3.22;3.22
2018-08-16;339.91;335.45;-4.46;4.46
2018-08-17;323.5;305.5;-18.0;18.0
2018-08-18;307.6;306.97;-0.63;0.63
2018-08-19;307.6;306.97;-0.63;0.63
2018-08-20;291.7;308.44;16.74;16.74
2018-08-21;310.61;321.9;11.29;11.29
2018-08-22;320.87;321.64;0.77;0.77
2018-08-23;319.14;320.1;0.96;0.96
2018-08-24;320.7;322.82;2.12;2.12
2018-08-25;319.35;321.04;1.69;1.69
2018-08-26;319.35;321.04;1.69;1.69
2018-08-27;318.0;319.27;1.27;1.27
2018-08-28;318.41;311.86;-6.55;6.55
2018-08-29;310.27;305.01;-5.26;5.26
2018-08-30;302.26;303.15;0.89;0.89
2018-08-31;302.0;301.66;-0.34;0.34
2018-09-01;299.47;295.3;-4.17;4.17
2018-09-02;299.47;295.3;-4.17;4.17
2018-09-03;299.47;295.3;-4.17;4.17
2018-09-04;296.94;288.95;-7.99;7.99
2018-09-05;285.05;280.74;-4.31;4.31
2018-09-06;284.8;280.95;-3.85;3.85
2018-09-07;260.1;263.24;3.14;3.14
2018-09-08;266.68;274.37;7.69;7.69
2018-09-09;266.68;274.37;7.69;7.69
2018-09-10;273.26;285.5;12.24;12.24
2018-09-11;279.47;279.44;-0.03;0.03
2018-09-12;281.44;290.54;9.1;9.1
2018-09-13;288.02;289.46;1.44;1.44
2018-09-14;288.76;295.2;6.44;6.44
2018-09-15;289.4;295.02;5.62;5.62
2018-09-16;289.4;295.02;5.62;5.62
2018-09-17;290.04;294.84;4.8;4.8
